formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,seebeck_coefficient,Thermal_conductivity,electrical_conductivity(S/m)
Nd2.86Te4,573,379.6,922.9264,414.34,12.58,10.8116,10.6624,11.6604,32.58,5000.38,6577.569,14776.229,44.98,1.3434,90.3804,990.98,56.59,1162.84,-69.0,2.0,114085.0
Nd2.86Te4,773,379.6,922.9264,414.34,12.58,10.8116,10.6624,11.6604,32.58,5000.38,6577.569,14776.229,44.98,1.3434,90.3804,990.98,56.59,1162.84,-97.0,1.9,86170.0
Nd2.86Te4,973,379.6,922.9264,414.34,12.58,10.8116,10.6624,11.6604,32.58,5000.38,6577.569,14776.229,44.98,1.3434,90.3804,990.98,56.59,1162.84,-122.0,1.68,68000.0
Nd2.86Te4,1073,379.6,922.9264,414.34,12.58,10.8116,10.6624,11.6604,32.58,5000.38,6577.569,14776.229,44.98,1.3434,90.3804,990.98,56.59,1162.84,-134.0,1.59,61300.0
Nd2.86Te4,1173,379.6,922.9264,414.34,12.58,10.8116,10.6624,11.6604,32.58,5000.38,6577.569,14776.229,44.98,1.3434,90.3804,990.98,56.59,1162.84,-145.0,1.6,54180.0
Nd2.92Te4,373,383.2,931.5808,415.48,12.76,10.9352,10.7728,11.7288,32.76,5032.36,6654.918,14980.238,45.4,1.3548,90.8088,1007.36,57.58,1174.48,-31.0,2.7,213158.0
Nd2.92Te4,573,383.2,931.5808,415.48,12.76,10.9352,10.7728,11.7288,32.76,5032.36,6654.918,14980.238,45.4,1.3548,90.8088,1007.36,57.58,1174.48,-49.0,2.74,163640.0
Nd2.92Te4,773,383.2,931.5808,415.48,12.76,10.9352,10.7728,11.7288,32.76,5032.36,6654.918,14980.238,45.4,1.3548,90.8088,1007.36,57.58,1174.48,-68.0,2.77,129600.0
Nd2.92Te4,973,383.2,931.5808,415.48,12.76,10.9352,10.7728,11.7288,32.76,5032.36,6654.918,14980.238,45.4,1.3548,90.8088,1007.36,57.58,1174.48,-87.0,2.5,104516.0
Nd2.92Te4,1073,383.2,931.5808,415.48,12.76,10.9352,10.7728,11.7288,32.76,5032.36,6654.918,14980.238,45.4,1.3548,90.8088,1007.36,57.58,1174.48,-97.0,2.41,93143.0
Nd2.92Te4,1173,383.2,931.5808,415.48,12.76,10.9352,10.7728,11.7288,32.76,5032.36,6654.918,14980.238,45.4,1.3548,90.8088,1007.36,57.58,1174.48,-105.0,2.4,81910.0
