formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,Thermal_conductivity
Cu0.7Ag0.3Ga0.4In0.6Te2,300,180.2,428.82266,318.9,4.4,5.45,5.493,7.901,26.0,3045.2,3144.18,7741.9,28.648,1.0225,51.6988,632.864,479.3,638.0,
Cu0.7Ag0.3Ga0.4In0.6Te2,873,180.2,428.82266,318.9,4.4,5.45,5.493,7.901,26.0,3045.2,3144.18,7741.9,28.648,1.0225,51.6988,632.864,479.3,638.0,
Cu0.98GaSb0.02Te2,310,164.44,389.63328,318.42,4.98,5.2676,5.34,7.913,25.88,3063.78,3095.36,8029.86,27.2946,1.1466,53.7564,659.6368,438.766,591.82,
Cu0.98GaSb0.02Te2,721,164.44,389.63328,318.42,4.98,5.2676,5.34,7.913,25.88,3063.78,3095.36,8029.86,27.2946,1.1466,53.7564,659.6368,438.766,591.82,
CuGa0.36In0.64Te2,320,175.52,417.3298,318.64,5.0,5.398,5.4552,7.8908,26.0,3048.56,3185.552,7835.48,28.2424,1.0604,52.13072,646.692,472.54,641.0,
CuGa0.36In0.64Te2,701,175.52,417.3298,318.64,5.0,5.398,5.4552,7.8908,26.0,3048.56,3185.552,7835.48,28.2424,1.0604,52.13072,646.692,472.54,641.0,
CuInTe2,300,182.0,433.564,319.0,5.0,5.47,5.52,7.88,26.0,3041.0,3231.2,7719.2,28.75,1.01,51.293,636.9,487.3,668.0,
CuInTe2,875,182.0,433.564,319.0,5.0,5.47,5.52,7.88,26.0,3041.0,3231.2,7719.2,28.75,1.01,51.293,636.9,487.3,668.0,
Ge0.85Bi0.05Sb0.1Te,300,88.45,211.9435185,169.95,2.0,2.497,2.598,4.1145,10.15,1635.25,1877.74,4214.6,11.9185,0.499,51.441,346.769,56.0885,360.45,
Ge0.85Bi0.05Sb0.1Te,725,88.45,211.9435185,169.95,2.0,2.497,2.598,4.1145,10.15,1635.25,1877.74,4214.6,11.9185,0.499,51.441,346.769,56.0885,360.45,
Ge0.86Pb0.1Bi0.04Te,300,91.04,219.1238148,169.48,2.0,2.5162,2.6046,4.0964,10.04,1624.04,1854.154,4206.3,12.3452,0.493,50.1903,359.086,57.7088,368.48,
Ge0.86Pb0.1Bi0.04Te,600,91.04,219.1238148,169.48,2.0,2.5162,2.6046,4.0964,10.04,1624.04,1854.154,4206.3,12.3452,0.493,50.1903,359.086,57.7088,368.48,
Ge0.86Sb0.1Zn0.04Te,300,85.82,204.8362,169.2,2.04,2.4948,2.5896,4.0996,10.42,1643.96,1890.448,4201.14,11.7694,0.5118,51.53828,349.45,60.934,369.86,
Ge0.86Sb0.1Zn0.04Te,780,85.82,204.8362,169.2,2.04,2.4948,2.5896,4.0996,10.42,1643.96,1890.448,4201.14,11.7694,0.5118,51.53828,349.45,60.934,369.86,
Ge0.87Sn0.05Sb0.08Te,300,86.42,206.447,169.53,2.0,2.4964,2.5923,4.1107,10.08,1634.11,1882.118,4267.7,11.7691,0.50655,51.56885,361.3942,59.737,368.08,
Ge0.87Sn0.05Sb0.08Te,735,86.42,206.447,169.53,2.0,2.4964,2.5923,4.1107,10.08,1634.11,1882.118,4267.7,11.7691,0.50655,51.56885,361.3942,59.737,368.08,
Ge0.89Sb0.1In0.01Te,300,86.07,205.54708,169.56,2.0,2.4911,2.5882,4.1117,10.09,1636.16,1903.652,4270.6,11.7169,0.5081,52.38623,357.08,58.907,370.24,
Ge0.89Sb0.1In0.01Te,780,86.07,205.54708,169.56,2.0,2.4911,2.5882,4.1117,10.09,1636.16,1903.652,4270.6,11.7169,0.5081,52.38623,357.08,58.907,370.24,
Ge0.93In0.01Bi0.06Te,300,87.23,208.8143022,169.38,2.0,2.4939,2.5866,4.1083,10.05,1625.42,1894.708,4282.4,11.8457,0.5071,52.55483,368.89,59.3452,363.36,
